ts	phase	decision	why	evidence	result
2026-08-16T17:30:00Z	product	Named the working product Resonote and started a new repository	The name supports music plus writing without claiming an available domain	README.md	open
2026-08-16T17:31:00Z	architecture	Chose Next.js App Router with demo-local and optional Supabase modes	Public share pages need server routing while zero-key demo mode keeps setup from blocking review	package.json, docs/ARCHITECTURE.md	open
2026-08-16T17:32:00Z	interaction	Made backslash-triggered music references explicit and user-confirmed	Silent title matching is ambiguous and violates user agency	src/components/journal/journal-editor.tsx	open
2026-08-16T18:12:08Z	recovery	Rebuilt the application after the working container discarded the first uncommitted tree	Preserved the agreed architecture and committed milestones early so a second environment reset could not erase the run	git log; commits ba7d99e..ea4c5bb	recovered in committed milestones
2026-08-16T18:12:08Z	data	Used UUID-shaped seed identities and isolated demo and Supabase persistence modes	The same product graph can run without credentials and later sync without mixing local demo state into production state	src/lib/data/catalog.ts; src/lib/data/store.ts; .env.example	implemented
2026-08-16T18:12:08Z	references	Made every inline music mention a first-class reference with its own identity, relation, and lenses	Two mentions of the same entity can mean different things and connections remain human-authored rather than inferred	src/components/journal/music-reference-extension.ts; supabase/migrations/202608160001_initial.sql	implemented and covered by tests
2026-08-16T18:12:08Z	interface	Applied stable geometry, preserved drafts and focus, serialized repeated writes, and tied motion only to semantic state	The product must feel physical: one deliberate action changes one bounded region without incidental layout movement	src/app/globals.css; tests/e2e/stability.spec.ts; .audit/audit_ui_stability.py	0 audit candidates
2026-08-16T18:12:08Z	playback	Kept one persistent player and used documented YouTube and Spotify iframe control paths	Route changes and pause/play should not remount the media surface or make controls report false state	src/components/player/persistent-player.tsx	implemented with native fallback
2026-08-16T18:12:08Z	privacy	Kept listening history private while leaving public journals, likes, pins, and collections shareable	Listening events are more personally sensitive than authored public taste and should not leak through profile bundle loading	src/lib/data/supabase-sync.ts; supabase/migrations/202608160001_initial.sql	RLS and UI enforced
2026-08-16T18:12:08Z	genres	Added reversible personal genre assertions with creator provenance	People need to express their own taxonomy without overwriting catalog metadata or pretending community judgment is authoritative	src/components/music/genre-tag-dialog.tsx; src/lib/data/store.ts	implemented
2026-08-16T18:12:08Z	catalog	Replaced incorrect seed release-group identifiers with verified MusicBrainz release groups	Cover art and external metadata must point to the conceptual album rather than an unrelated or pressing-specific record	src/lib/data/catalog.ts; supabase/seed.sql	four album IDs corrected
2026-08-16T18:12:08Z	verification	Ran offline syntax, strict shim typecheck, runtime catalog, data graph, whitespace, stability, and static responsive layout checks	The container could not reach npm, so claims are limited to checks that actually ran and networked package gates remain explicit	BUILD_REPORT.md; scripts/validate-data.mjs; scripts/runtime-smoke.mjs	offline gates green; npm gates pending
2026-08-16T18:12:08Z	publication	Prepared a full-history Git bundle and source archive instead of claiming a GitHub push	The connected GitHub tool can inspect repositories but cannot create one or upload local Git objects, and gh is unavailable	docs/SETUP_CHECKLIST.md; BUILD_REPORT.md	owner push action required
